resourceGroup,type,name,location,id
MC_rg-aruop-dev-core_aks-aruop-dev-01_westeurope,Microsoft.Compute/virtualMachineScaleSets,aks-nodepool1-28196372-vmss,westeurope,/subscriptions/810942a7-2810-4ca8-a634-7e7346e15d61/resourceGroups/MC_rg-aruop-dev-core_aks-aruop-dev-01_westeurope/providers/Microsoft.Compute/virtualMachineScaleSets/aks-nodepool1-28196372-vmss
MC_rg-aruop-dev-core_aks-aruop-dev-01_westeurope,Microsoft.ManagedIdentity/userAssignedIdentities,aks-aruop-dev-01-agentpool,westeurope,/subscriptions/810942a7-2810-4ca8-a634-7e7346e15d61/resourceGroups/MC_rg-aruop-dev-core_aks-aruop-dev-01_westeurope/providers/Microsoft.ManagedIdentity/userAssignedIdentities/aks-aruop-dev-01-agentpool
MC_rg-aruop-dev-core_aks-aruop-dev-01_westeurope,Microsoft.ManagedIdentity/userAssignedIdentities,omsagent-aks-aruop-dev-01,westeurope,/subscriptions/810942a7-2810-4ca8-a634-7e7346e15d61/resourceGroups/MC_rg-aruop-dev-core_aks-aruop-dev-01_westeurope/providers/Microsoft.ManagedIdentity/userAssignedIdentities/omsagent-aks-aruop-dev-01
MC_rg-aruop-dev-core_aks-aruop-dev-01_westeurope,Microsoft.Network/loadBalancers,kubernetes,westeurope,/subscriptions/810942a7-2810-4ca8-a634-7e7346e15d61/resourceGroups/MC_rg-aruop-dev-core_aks-aruop-dev-01_westeurope/providers/Microsoft.Network/loadBalancers/kubernetes
MC_rg-aruop-dev-core_aks-aruop-dev-01_westeurope,Microsoft.Network/networkSecurityGroups,aks-agentpool-19903734-nsg,westeurope,/subscriptions/810942a7-2810-4ca8-a634-7e7346e15d61/resourceGroups/MC_rg-aruop-dev-core_aks-aruop-dev-01_westeurope/providers/Microsoft.Network/networkSecurityGroups/aks-agentpool-19903734-nsg
MC_rg-aruop-dev-core_aks-aruop-dev-01_westeurope,Microsoft.Network/publicIPAddresses,f54a1aa7-21ce-43ba-9ad9-c3db6cfa8c0e,westeurope,/subscriptions/810942a7-2810-4ca8-a634-7e7346e15d61/resourceGroups/MC_rg-aruop-dev-core_aks-aruop-dev-01_westeurope/providers/Microsoft.Network/publicIPAddresses/f54a1aa7-21ce-43ba-9ad9-c3db6cfa8c0e
rg-aruop-dev-core,Microsoft.ContainerRegistry/registries,acraruopdev001,westeurope,/subscriptions/810942a7-2810-4ca8-a634-7e7346e15d61/resourceGroups/rg-aruop-dev-core/providers/Microsoft.ContainerRegistry/registries/acraruopdev001
rg-aruop-dev-core,Microsoft.ContainerService/managedClusters,aks-aruop-dev-01,westeurope,/subscriptions/810942a7-2810-4ca8-a634-7e7346e15d61/resourceGroups/rg-aruop-dev-core/providers/Microsoft.ContainerService/managedClusters/aks-aruop-dev-01
rg-aruop-dev-core,Microsoft.DBforPostgreSQL/flexibleServers,pg-aruop-dev-ne01,northeurope,/subscriptions/810942a7-2810-4ca8-a634-7e7346e15d61/resourceGroups/rg-aruop-dev-core/providers/Microsoft.DBforPostgreSQL/flexibleServers/pg-aruop-dev-ne01
rg-aruop-dev-core,Microsoft.KeyVault/vaults,kv-aruop-dev-01,westeurope,/subscriptions/810942a7-2810-4ca8-a634-7e7346e15d61/resourceGroups/rg-aruop-dev-core/providers/Microsoft.KeyVault/vaults/kv-aruop-dev-01
rg-aruop-dev-core,Microsoft.Network/applicationGateways,agw-aruop-dev-01,westeurope,/subscriptions/810942a7-2810-4ca8-a634-7e7346e15d61/resourceGroups/rg-aruop-dev-core/providers/Microsoft.Network/applicationGateways/agw-aruop-dev-01
rg-aruop-dev-core,Microsoft.Network/privateDnsZones,privatelink.postgres.database.azure.com,global,/subscriptions/810942a7-2810-4ca8-a634-7e7346e15d61/resourceGroups/rg-aruop-dev-core/providers/Microsoft.Network/privateDnsZones/privatelink.postgres.database.azure.com
rg-aruop-dev-core,Microsoft.Network/privateDnsZones/virtualNetworkLinks,privatelink.postgres.database.azure.com/pg-aruop-dev-ne01-core-vnet-link,global,/subscriptions/810942a7-2810-4ca8-a634-7e7346e15d61/resourceGroups/rg-aruop-dev-core/providers/Microsoft.Network/privateDnsZones/privatelink.postgres.database.azure.com/virtualNetworkLinks/pg-aruop-dev-ne01-core-vnet-link
rg-aruop-dev-core,Microsoft.Network/publicIPAddresses,pip-aruop-dev-appgw,westeurope,/subscriptions/810942a7-2810-4ca8-a634-7e7346e15d61/resourceGroups/rg-aruop-dev-core/providers/Microsoft.Network/publicIPAddresses/pip-aruop-dev-appgw
rg-aruop-dev-core,Microsoft.Network/virtualNetworks,vnet-aruop-dev-core,westeurope,/subscriptions/810942a7-2810-4ca8-a634-7e7346e15d61/resourceGroups/rg-aruop-dev-core/providers/Microsoft.Network/virtualNetworks/vnet-aruop-dev-core
rg-aruop-dev-core,Microsoft.OperationalInsights/workspaces,law-aruop-dev-01,westeurope,/subscriptions/810942a7-2810-4ca8-a634-7e7346e15d61/resourceGroups/rg-aruop-dev-core/providers/Microsoft.OperationalInsights/workspaces/law-aruop-dev-01
rg-aruop-dev-core,Microsoft.OperationsManagement/solutions,ContainerInsights(law-aruop-dev-01),westeurope,/subscriptions/810942a7-2810-4ca8-a634-7e7346e15d61/resourceGroups/rg-aruop-dev-core/providers/Microsoft.OperationsManagement/solutions/ContainerInsights(law-aruop-dev-01)
rg-aruop-dev-core,Microsoft.Storage/storageAccounts,stgaruopdev001,westeurope,/subscriptions/810942a7-2810-4ca8-a634-7e7346e15d61/resourceGroups/rg-aruop-dev-core/providers/Microsoft.Storage/storageAccounts/stgaruopdev001
rg-aruop-dev-core,Microsoft.Web/serverFarms,plan-aruop-dev-func,westeurope,/subscriptions/810942a7-2810-4ca8-a634-7e7346e15d61/resourceGroups/rg-aruop-dev-core/providers/Microsoft.Web/serverFarms/plan-aruop-dev-func
rg-aruop-dev-core,Microsoft.Web/sites,func-aruop-dev-hello,westeurope,/subscriptions/810942a7-2810-4ca8-a634-7e7346e15d61/resourceGroups/rg-aruop-dev-core/providers/Microsoft.Web/sites/func-aruop-dev-hello
rg-aruop-dev-net,Microsoft.Compute/disks,osdisk-aruop-dev-jump01,westeurope,/subscriptions/810942a7-2810-4ca8-a634-7e7346e15d61/resourceGroups/RG-ARUOP-DEV-NET/providers/Microsoft.Compute/disks/osdisk-aruop-dev-jump01
rg-aruop-dev-net,Microsoft.Compute/virtualMachines,vm-aruop-dev-jump01,westeurope,/subscriptions/810942a7-2810-4ca8-a634-7e7346e15d61/resourceGroups/rg-aruop-dev-net/providers/Microsoft.Compute/virtualMachines/vm-aruop-dev-jump01
